cuda
Loading datasets
96268
Loading existing ConvGRU model
Loading existing readout
| epoch   0 | running loss 5183.6878 | train accuracy 0.00000 |match accuracy 0.07051 | mismatch accuracy 0.07263 |control image alignment 0.07410 |control audio alignment 0.09473
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (5): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(42, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(42, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (6): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
  )
)
Loading existing ConvGRU model
No pretrained readout found. Training new one.
Script failed for graph big_rnn with seed 1.

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Wed Nov 27 16:03:37 2024
Driver Version                            : 560.35.03
CUDA Version                              : 12.6

Attached GPUs                             : 1
GPU 00000000:B1:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 3796309
            GPU Utilization               : 0 %
            Memory Utilization            : 0 %
            Max memory usage              : 450 MiB
            Time                          : 25874 ms
            Is Running                    : 0

Wed Nov 27 16:03:37 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:B1:00.0 Off |                    0 |
| 33%   28C    P2             73W /  260W |       1MiB /  46080MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading datasets
Architecture(
  (dropout): Dropout(p=0.25, inplace=False)
  (cell_list): ModuleList(
    (0): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (1-2): 2 x ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (3): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(1, 1), stride=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(1, 1), stride=(1, 1), bias=False)
    )
    (4): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (5): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(42, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(42, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (6): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
  )
)
Loading existing ConvGRU model
No pretrained readout found. Training new one.
Script failed for graph big_rnn with seed 1.

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Wed Nov 27 16:11:52 2024
Driver Version                            : 560.35.03
CUDA Version                              : 12.6

Attached GPUs                             : 1
GPU 00000000:28:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 2376811
            GPU Utilization               : 0 %
            Memory Utilization            : 0 %
            Max memory usage              : 450 MiB
            Time                          : 33114 ms
            Is Running                    : 0

Wed Nov 27 16:11:52 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:28:00.0 Off |                    0 |
| 33%   46C    P2             66W /  235W |       1MiB /  46080MiB |      6%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading datasets
Architecture(
  (dropout): Dropout(p=0.25, inplace=False)
  (cell_list): ModuleList(
    (0): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (1-2): 2 x ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (3): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(1, 1), stride=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(1, 1), stride=(1, 1), bias=False)
    )
    (4): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (5): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(42, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(42, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (6): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
  )
)
Loading existing ConvGRU model
No pretrained readout found. Training new one.
Completed for graph big_rnn with seed 1.
Loading datasets
Architecture(
  (dropout): Dropout(p=0.25, inplace=False)
  (cell_list): ModuleList(
    (0): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (1-2): 2 x ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (3): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(1, 1), stride=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(1, 1), stride=(1, 1), bias=False)
    )
    (4): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (5): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(42, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(42, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (6): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
  )
)
No pretrained model found. Training new one.
No pretrained readout found. Training new one.
Completed for graph big_rnn with seed 2.
Loading datasets
Architecture(
  (dropout): Dropout(p=0.25, inplace=False)
  (cell_list): ModuleList(
    (0): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (1-2): 2 x ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (3): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(1, 1), stride=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(1, 1), stride=(1, 1), bias=False)
    )
    (4): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (5): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(42, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(42, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (6): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
  )
)
No pretrained model found. Training new one.
No pretrained readout found. Training new one.
Completed for graph big_rnn with seed 3.
All runs completed successfully.

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Wed Nov 27 16:59:10 2024
Driver Version                            : 560.35.03
CUDA Version                              : 12.6

Attached GPUs                             : 1
GPU 00000000:C4:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 1981594
            GPU Utilization               : 1 %
            Memory Utilization            : 0 %
            Max memory usage              : 3586 MiB
            Time                          : 658181 ms
            Is Running                    : 0
        Process ID                        : 1988634
            GPU Utilization               : 1 %
            Memory Utilization            : 0 %
            Max memory usage              : 3586 MiB
            Time                          : 651522 ms
            Is Running                    : 0
        Process ID                        : 1995454
            GPU Utilization               : 1 %
            Memory Utilization            : 0 %
            Max memory usage              : 3586 MiB
            Time                          : 655345 ms
            Is Running                    : 0

Wed Nov 27 16:59:10 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:C4:00.0 Off |                    0 |
| 33%   31C    P2             66W /  235W |       1MiB /  46080MiB |     48%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Loading datasets
96268
No pretrained model found. Training new one.
Loading existing readout
| epoch   0 | running loss 5840.2734 | train accuracy 0.00000 |match accuracy 0.09721 | mismatch accuracy 0.09997 |control image alignment 0.10172 |control audio alignment 0.09712
| epoch   1 | running loss 2731.1371 | train accuracy 0.00000 |match accuracy 0.71076 | mismatch accuracy 0.45632 |control image alignment 0.32744 |control audio alignment 0.28556
| epoch   2 | running loss 2061.4044 | train accuracy 0.00000 |match accuracy 0.78422 | mismatch accuracy 0.66943 |control image alignment 0.38912 |control audio alignment 0.25518
| epoch   3 | running loss 1697.9426 | train accuracy 0.00000 |match accuracy 0.76369 | mismatch accuracy 0.77456 |control image alignment 0.41066 |control audio alignment 0.22287
| epoch   4 | running loss 1416.9463 | train accuracy 0.00000 |match accuracy 0.81764 | mismatch accuracy 0.80006 |control image alignment 0.42134 |control audio alignment 0.24082
| epoch   5 | running loss 1203.3749 | train accuracy 0.00000 |match accuracy 0.81847 | mismatch accuracy 0.85317 |control image alignment 0.43248 |control audio alignment 0.22903
| epoch   6 | running loss 1059.4608 | train accuracy 0.00000 |match accuracy 0.85796 | mismatch accuracy 0.86634 |control image alignment 0.43229 |control audio alignment 0.23732
| epoch   7 | running loss 987.1097 | train accuracy 0.00000 |match accuracy 0.86026 | mismatch accuracy 0.89193 |control image alignment 0.44601 |control audio alignment 0.22222
| epoch   8 | running loss 913.4816 | train accuracy 0.00000 |match accuracy 0.87876 | mismatch accuracy 0.87692 |control image alignment 0.43137 |control audio alignment 0.24450
| epoch   9 | running loss 846.2524 | train accuracy 0.00000 |match accuracy 0.87619 | mismatch accuracy 0.90113 |control image alignment 0.44665 |control audio alignment 0.23088
| epoch  10 | running loss 798.3301 | train accuracy 0.00000 |match accuracy 0.89091 | mismatch accuracy 0.90868 |control image alignment 0.44325 |control audio alignment 0.23778
| epoch  11 | running loss 758.8394 | train accuracy 0.00000 |match accuracy 0.88613 | mismatch accuracy 0.89589 |control image alignment 0.43607 |control audio alignment 0.24625
| epoch  12 | running loss 728.6064 | train accuracy 0.00000 |match accuracy 0.88631 | mismatch accuracy 0.90850 |control image alignment 0.44454 |control audio alignment 0.23879
| epoch  13 | running loss 692.1684 | train accuracy 0.00000 |match accuracy 0.90067 | mismatch accuracy 0.91089 |control image alignment 0.43791 |control audio alignment 0.23833
| epoch  14 | running loss 672.5779 | train accuracy 0.00000 |match accuracy 0.90334 | mismatch accuracy 0.90343 |control image alignment 0.43469 |control audio alignment 0.25242
| epoch  15 | running loss 659.3349 | train accuracy 0.00000 |match accuracy 0.90739 | mismatch accuracy 0.92065 |control image alignment 0.45172 |control audio alignment 0.24155
| epoch  16 | running loss 633.5914 | train accuracy 0.00000 |match accuracy 0.90684 | mismatch accuracy 0.92921 |control image alignment 0.44665 |control audio alignment 0.24340
| epoch  17 | running loss 618.3514 | train accuracy 0.00000 |match accuracy 0.89966 | mismatch accuracy 0.92709 |control image alignment 0.44362 |control audio alignment 0.23465
| epoch  18 | running loss 594.9568 | train accuracy 0.00000 |match accuracy 0.90840 | mismatch accuracy 0.92930 |control image alignment 0.44159 |control audio alignment 0.23898
| epoch  19 | running loss 591.8708 | train accuracy 0.00000 |match accuracy 0.90555 | mismatch accuracy 0.93869 |control image alignment 0.44242 |control audio alignment 0.24155
| epoch  20 | running loss 562.2015 | train accuracy 0.00000 |match accuracy 0.91862 | mismatch accuracy 0.93934 |control image alignment 0.44905 |control audio alignment 0.24192
| epoch  21 | running loss 557.2648 | train accuracy 0.00000 |match accuracy 0.91632 | mismatch accuracy 0.93510 |control image alignment 0.43800 |control audio alignment 0.24257
| epoch  22 | running loss 544.2266 | train accuracy 0.00000 |match accuracy 0.92571 | mismatch accuracy 0.93197 |control image alignment 0.44279 |control audio alignment 0.24901
| epoch  23 | running loss 529.5373 | train accuracy 0.00000 |match accuracy 0.89994 | mismatch accuracy 0.94762 |control image alignment 0.45015 |control audio alignment 0.22903
| epoch  24 | running loss 523.2782 | train accuracy 0.00000 |match accuracy 0.92746 | mismatch accuracy 0.93308 |control image alignment 0.44030 |control audio alignment 0.25693
| epoch  25 | running loss 512.3421 | train accuracy 0.00000 |match accuracy 0.91614 | mismatch accuracy 0.94320 |control image alignment 0.44205 |control audio alignment 0.24174
| epoch  26 | running loss 496.7779 | train accuracy 0.00000 |match accuracy 0.92396 | mismatch accuracy 0.94237 |control image alignment 0.44380 |control audio alignment 0.23980
| epoch  27 | running loss 485.1040 | train accuracy 0.00000 |match accuracy 0.91807 | mismatch accuracy 0.93289 |control image alignment 0.44426 |control audio alignment 0.24772
| epoch  28 | running loss 485.6347 | train accuracy 0.00000 |match accuracy 0.92313 | mismatch accuracy 0.94302 |control image alignment 0.44481 |control audio alignment 0.24229
| epoch  29 | running loss 474.3827 | train accuracy 0.00000 |match accuracy 0.92378 | mismatch accuracy 0.94421 |control image alignment 0.44463 |control audio alignment 0.24450
| epoch  30 | running loss 464.0326 | train accuracy 0.00000 |match accuracy 0.92930 | mismatch accuracy 0.94615 |control image alignment 0.44260 |control audio alignment 0.25223
| epoch  31 | running loss 458.9144 | train accuracy 0.00000 |match accuracy 0.92949 | mismatch accuracy 0.94734 |control image alignment 0.44472 |control audio alignment 0.24763
| epoch  32 | running loss 467.2605 | train accuracy 0.00000 |match accuracy 0.92838 | mismatch accuracy 0.95139 |control image alignment 0.44279 |control audio alignment 0.24551
| epoch  33 | running loss 441.4339 | train accuracy 0.00000 |match accuracy 0.93317 | mismatch accuracy 0.94928 |control image alignment 0.44306 |control audio alignment 0.24680
| epoch  34 | running loss 441.3930 | train accuracy 0.00000 |match accuracy 0.93077 | mismatch accuracy 0.94274 |control image alignment 0.43533 |control audio alignment 0.25352
| epoch  35 | running loss 434.1353 | train accuracy 0.00000 |match accuracy 0.92921 | mismatch accuracy 0.95314 |control image alignment 0.45337 |control audio alignment 0.24735
| epoch  36 | running loss 435.0402 | train accuracy 0.00000 |match accuracy 0.93602 | mismatch accuracy 0.95093 |control image alignment 0.44757 |control audio alignment 0.24846
| epoch  37 | running loss 426.6557 | train accuracy 0.00000 |match accuracy 0.93749 | mismatch accuracy 0.94247 |control image alignment 0.44610 |control audio alignment 0.25297
| epoch  38 | running loss 426.3006 | train accuracy 0.00000 |match accuracy 0.94108 | mismatch accuracy 0.95278 |control image alignment 0.44426 |control audio alignment 0.25104
| epoch  39 | running loss 411.4341 | train accuracy 0.00000 |match accuracy 0.93022 | mismatch accuracy 0.95268 |control image alignment 0.45006 |control audio alignment 0.24726
| epoch  40 | running loss 410.8724 | train accuracy 0.00000 |match accuracy 0.93657 | mismatch accuracy 0.94458 |control image alignment 0.43432 |control audio alignment 0.25803
| epoch  41 | running loss 403.4006 | train accuracy 0.00000 |match accuracy 0.93225 | mismatch accuracy 0.95075 |control image alignment 0.44500 |control audio alignment 0.24781
| epoch  42 | running loss 396.9961 | train accuracy 0.00000 |match accuracy 0.94348 | mismatch accuracy 0.94707 |control image alignment 0.44021 |control audio alignment 0.25674
| epoch  43 | running loss 394.3923 | train accuracy 0.00000 |match accuracy 0.93501 | mismatch accuracy 0.95848 |control image alignment 0.44177 |control audio alignment 0.24551
| epoch  44 | running loss 398.4033 | train accuracy 0.00000 |match accuracy 0.93906 | mismatch accuracy 0.95149 |control image alignment 0.44564 |control audio alignment 0.25472
| epoch  45 | running loss 383.7751 | train accuracy 0.00000 |match accuracy 0.93528 | mismatch accuracy 0.95784 |control image alignment 0.45126 |control audio alignment 0.24505
| epoch  46 | running loss 390.8177 | train accuracy 0.00000 |match accuracy 0.94256 | mismatch accuracy 0.95535 |control image alignment 0.44665 |control audio alignment 0.25509
| epoch  47 | running loss 386.3661 | train accuracy 0.00000 |match accuracy 0.94965 | mismatch accuracy 0.94845 |control image alignment 0.44030 |control audio alignment 0.26448
| epoch  48 | running loss 372.1799 | train accuracy 0.00000 |match accuracy 0.93795 | mismatch accuracy 0.95149 |control image alignment 0.43947 |control audio alignment 0.25094
| epoch  49 | running loss 378.2677 | train accuracy 0.00000 |match accuracy 0.94348 | mismatch accuracy 0.95314 |control image alignment 0.44067 |control audio alignment 0.25361
Completed for graph random2 with seed 1.
cuda
Loading datasets
96268
No pretrained model found. Training new one.
Loading existing readout
| epoch   0 | running loss 5997.7789 | train accuracy 0.00000 |match accuracy 0.07033 | mismatch accuracy 0.07254 |control image alignment 0.07410 |control audio alignment 0.09482
| epoch   1 | running loss 5357.9673 | train accuracy 0.00000 |match accuracy 0.79168 | mismatch accuracy 0.11415 |control image alignment 0.11470 |control audio alignment 0.72273
| epoch   2 | running loss 3887.6566 | train accuracy 0.00000 |match accuracy 0.84571 | mismatch accuracy 0.11498 |control image alignment 0.11387 |control audio alignment 0.77667
| epoch   3 | running loss 2428.9952 | train accuracy 0.00000 |match accuracy 0.78680 | mismatch accuracy 0.57295 |control image alignment 0.34070 |control audio alignment 0.29900
| epoch   4 | running loss 2018.9094 | train accuracy 0.00000 |match accuracy 0.78045 | mismatch accuracy 0.68048 |control image alignment 0.38341 |control audio alignment 0.25288
| epoch   5 | running loss 1762.8304 | train accuracy 0.00000 |match accuracy 0.81322 | mismatch accuracy 0.73341 |control image alignment 0.38709 |control audio alignment 0.26678
| epoch   6 | running loss 1593.3437 | train accuracy 0.00000 |match accuracy 0.83310 | mismatch accuracy 0.75854 |control image alignment 0.39197 |control audio alignment 0.26190
| epoch   7 | running loss 1449.2741 | train accuracy 0.00000 |match accuracy 0.84599 | mismatch accuracy 0.78128 |control image alignment 0.39878 |control audio alignment 0.26162
| epoch   8 | running loss 1326.4544 | train accuracy 0.00000 |match accuracy 0.85428 | mismatch accuracy 0.80217 |control image alignment 0.40026 |control audio alignment 0.26273
| epoch   9 | running loss 1237.9318 | train accuracy 0.00000 |match accuracy 0.86505 | mismatch accuracy 0.82335 |control image alignment 0.41517 |control audio alignment 0.26236
| epoch  10 | running loss 1174.6742 | train accuracy 0.00000 |match accuracy 0.86624 | mismatch accuracy 0.83798 |control image alignment 0.41453 |control audio alignment 0.25591
| epoch  11 | running loss 1096.9452 | train accuracy 0.00000 |match accuracy 0.88456 | mismatch accuracy 0.84498 |control image alignment 0.40900 |control audio alignment 0.26402
| epoch  12 | running loss 1044.1912 | train accuracy 0.00000 |match accuracy 0.87306 | mismatch accuracy 0.85520 |control image alignment 0.41628 |control audio alignment 0.25417
| epoch  13 | running loss 995.2198 | train accuracy 0.00000 |match accuracy 0.87517 | mismatch accuracy 0.86284 |control image alignment 0.42161 |control audio alignment 0.25637
| epoch  14 | running loss 962.5076 | train accuracy 0.00000 |match accuracy 0.88024 | mismatch accuracy 0.86449 |control image alignment 0.41397 |control audio alignment 0.26125
| epoch  15 | running loss 924.0221 | train accuracy 0.00000 |match accuracy 0.88180 | mismatch accuracy 0.87941 |control image alignment 0.41204 |control audio alignment 0.25435
| epoch  16 | running loss 900.5051 | train accuracy 0.00000 |match accuracy 0.89266 | mismatch accuracy 0.88521 |control image alignment 0.42125 |control audio alignment 0.25196
| epoch  17 | running loss 860.9998 | train accuracy 0.00000 |match accuracy 0.90003 | mismatch accuracy 0.87646 |control image alignment 0.41821 |control audio alignment 0.26853
| epoch  18 | running loss 830.4213 | train accuracy 0.00000 |match accuracy 0.89211 | mismatch accuracy 0.88456 |control image alignment 0.42207 |control audio alignment 0.25509
| epoch  19 | running loss 818.5483 | train accuracy 0.00000 |match accuracy 0.90122 | mismatch accuracy 0.88447 |control image alignment 0.42355 |control audio alignment 0.26484
| epoch  20 | running loss 789.5848 | train accuracy 0.00000 |match accuracy 0.90850 | mismatch accuracy 0.89183 |control image alignment 0.42033 |control audio alignment 0.26245
| epoch  21 | running loss 784.4838 | train accuracy 0.00000 |match accuracy 0.89257 | mismatch accuracy 0.89708 |control image alignment 0.42189 |control audio alignment 0.25361
| epoch  22 | running loss 765.9403 | train accuracy 0.00000 |match accuracy 0.91420 | mismatch accuracy 0.88530 |control image alignment 0.41720 |control audio alignment 0.27230
| epoch  23 | running loss 745.2187 | train accuracy 0.00000 |match accuracy 0.89745 | mismatch accuracy 0.90086 |control image alignment 0.42097 |control audio alignment 0.25380
| epoch  24 | running loss 738.9745 | train accuracy 0.00000 |match accuracy 0.89846 | mismatch accuracy 0.89699 |control image alignment 0.41987 |control audio alignment 0.26254
| epoch  25 | running loss 705.2965 | train accuracy 0.00000 |match accuracy 0.90491 | mismatch accuracy 0.90242 |control image alignment 0.42944 |control audio alignment 0.25334
| epoch  26 | running loss 711.0330 | train accuracy 0.00000 |match accuracy 0.91080 | mismatch accuracy 0.90058 |control image alignment 0.42226 |control audio alignment 0.26263
| epoch  27 | running loss 686.4782 | train accuracy 0.00000 |match accuracy 0.91641 | mismatch accuracy 0.90647 |control image alignment 0.42622 |control audio alignment 0.26392
| epoch  28 | running loss 689.0699 | train accuracy 0.00000 |match accuracy 0.90767 | mismatch accuracy 0.91227 |control image alignment 0.43045 |control audio alignment 0.25518
| epoch  29 | running loss 670.0177 | train accuracy 0.00000 |match accuracy 0.92304 | mismatch accuracy 0.90804 |control image alignment 0.42935 |control audio alignment 0.26144
| epoch  30 | running loss 658.1587 | train accuracy 0.00000 |match accuracy 0.92129 | mismatch accuracy 0.91199 |control image alignment 0.42373 |control audio alignment 0.26061
| epoch  31 | running loss 649.6926 | train accuracy 0.00000 |match accuracy 0.92258 | mismatch accuracy 0.90969 |control image alignment 0.43275 |control audio alignment 0.26328
| epoch  32 | running loss 641.2452 | train accuracy 0.00000 |match accuracy 0.90325 | mismatch accuracy 0.91899 |control image alignment 0.43653 |control audio alignment 0.25104
| epoch  33 | running loss 627.8243 | train accuracy 0.00000 |match accuracy 0.91338 | mismatch accuracy 0.92387 |control image alignment 0.43064 |control audio alignment 0.25545
| epoch  34 | running loss 622.7846 | train accuracy 0.00000 |match accuracy 0.91982 | mismatch accuracy 0.91393 |control image alignment 0.42622 |control audio alignment 0.25858
| epoch  35 | running loss 615.3677 | train accuracy 0.00000 |match accuracy 0.92120 | mismatch accuracy 0.91816 |control image alignment 0.42373 |control audio alignment 0.26402
| epoch  36 | running loss 604.2950 | train accuracy 0.00000 |match accuracy 0.92249 | mismatch accuracy 0.91844 |control image alignment 0.42741 |control audio alignment 0.26724
| epoch  37 | running loss 593.5712 | train accuracy 0.00000 |match accuracy 0.92065 | mismatch accuracy 0.92405 |control image alignment 0.41812 |control audio alignment 0.25914
| epoch  38 | running loss 592.1957 | train accuracy 0.00000 |match accuracy 0.92157 | mismatch accuracy 0.92332 |control image alignment 0.42484 |control audio alignment 0.26457
| epoch  39 | running loss 594.1731 | train accuracy 0.00000 |match accuracy 0.92092 | mismatch accuracy 0.92304 |control image alignment 0.43110 |control audio alignment 0.25656
| epoch  40 | running loss 575.1260 | train accuracy 0.00000 |match accuracy 0.91595 | mismatch accuracy 0.92728 |control image alignment 0.42926 |control audio alignment 0.25950
| epoch  41 | running loss 575.2728 | train accuracy 0.00000 |match accuracy 0.92737 | mismatch accuracy 0.92102 |control image alignment 0.42870 |control audio alignment 0.26576
| epoch  42 | running loss 563.7612 | train accuracy 0.00000 |match accuracy 0.92304 | mismatch accuracy 0.93188 |control image alignment 0.43220 |control audio alignment 0.25490
